vdiffx,vdiffy,cx_ud_px,cy_ud_px,x_mm,y_mm
-105.0,0,283.5646071736809,228.5126421035231,0.10379800572991371,0.1016349233686924
-100.0,0,256.27597765558875,228.4171547342874,0.09231024980545044,0.10172798484563828
-95.0,0,257.7121920789922,228.771098400871,0.09291738271713257,0.10187054798007011
-90.0,0,261.22700719792454,229.59392289751463,0.09440280497074127,0.10220108553767204
-85.0,0,264.8143559069287,229.37487812652193,0.09591150283813477,0.1020909771323204
-80.0,0,267.89630819595016,228.72968592211822,0.09720456972718239,0.1018032468855381
-75.0,0,269.98301179080767,228.30050788063483,0.09808014705777168,0.1016116663813591
-70.0,0,272.1683422642718,228.30553082145883,0.09900016710162163,0.10160310566425323
-65.0,0,275.47801282442117,228.86210748456278,0.10039710998535156,0.1018221341073513
-60.0,0,278.4127474730376,229.42960842371374,0.10163624212145805,0.10204760730266571
-55.0,0,283.59424702231183,228.40517388131494,0.10381079837679863,0.10158934444189072
-50.0,0,287.83021760956996,226.99368370279348,0.1055850125849247,0.10097208991646767
-45.0,0,289.7281939173645,226.96730850075826,0.10638385266065598,0.1009516641497612
-40.0,0,292.39722891234203,228.19720014739784,0.10751502960920334,0.10145840048789978
-35.0,0,295.81840936120665,229.26846550207995,0.10896169021725655,0.10189441591501236
-30.0,0,299.77660179386504,229.1119813512981,0.11062676832079887,0.10180893540382385
-25.0,0,304.0299854030365,228.73287860297535,0.11241476982831955,0.10162793844938278
-20.0,0,307.79126719655665,228.33130111674058,0.11399552598595619,0.10143985226750374
-15.0,0,311.79701062508457,227.1181271603404,0.11567457765340805,0.10090754553675652
-10.0,0,314.3698424077274,226.83329777119837,0.11675587669014931,0.100774597376585
-5.0,0,316.1462045024801,227.07357406277123,0.11750493943691254,0.10086747631430626
0.0,0,318.37157982449753,227.51806260920324,0.11844410747289658,0.10104444995522499
5.0,0,321.049657600128,228.42813290527647,0.11957632750272751,0.10141596570611
10.0,0,325.52833936747743,228.33953838025946,0.12146075814962387,0.1013566367328167
15.0,0,328.5608455809345,228.40971312208455,0.12273738533258438,0.10137147083878517
20.0,0,331.4328023631808,228.51712453958976,0.12394661828875542,0.10140281915664673
25.0,0,334.82545057713315,228.5945522643761,0.12537478283047676,0.10141895711421967
30.0,0,338.6265754271527,228.58566626581174,0.12697435915470123,0.10139662027359009
35.0,0,342.63036200036925,228.43621884133225,0.1286584809422493,0.10131390392780304
40.0,0,345.87936412130693,228.3731588249073,0.13002540916204453,0.1012713797390461
45.0,0,351.29856651100306,228.00324683576036,0.13230405002832413,0.10108858346939087
50.0,0,354.47938949555726,228.04325332848353,0.1336427479982376,0.1010899469256401
55.0,0,357.45967731356046,228.0553002929671,0.134896919131279,0.10108047351241112
60.0,0,360.6794898151272,227.8889137974246,0.13625101000070572,0.10099443048238754
65.0,0,363.32473277345184,227.8432124393063,0.13736388087272644,0.10096219182014465
70.0,0,367.1412837687345,227.8545815915032,0.13896986097097397,0.10094834491610527
75.0,0,370.2690038335121,227.87815306534827,0.14028603583574295,0.10094302892684937
80.0,0,373.1292626981052,227.80319076945773,0.1414892077445984,0.10089737549424171
85.0,0,376.3228969521598,227.46122574493387,0.14283150434494019,0.10073726624250412
90.0,0,378.41867110897203,227.48901155417502,0.14371344447135925,0.1007387675344944
95.0,0,380.84829884701674,227.61858047727708,0.14473627507686615,0.10078164935112
100.0,0,384.19549623537046,227.56576877067715,0.14614438265562057,0.10074298456311226
105.0,0,386.67600006860243,227.36295799877294,0.14718721061944962,0.10064515843987465
